#        time                area                spin                 c_x                 c_y                 c_z
    6.0000000    1.3895810016e+01    3.0133579350e-02    1.2506693502e+02    1.2745192255e+02    1.2800000000e+02
    6.1250000    1.3893769922e+01    3.2770769380e-02    1.2507050232e+02    1.2743663526e+02    1.2800000000e+02
    6.2500000    1.3891765864e+01    3.5833769054e-02    1.2507411928e+02    1.2742136511e+02    1.2800000000e+02
    6.3750000    1.3889668174e+01    3.8959527822e-02    1.2507779600e+02    1.2740614586e+02    1.2800000000e+02
    6.5000000    1.3887588802e+01    4.2329943662e-02    1.2508153253e+02    1.2739098690e+02    1.2800000000e+02
    6.6250000    1.3885491370e+01    4.6026467848e-02    1.2508530826e+02    1.2737588303e+02    1.2800000000e+02
    6.7500000    1.3883042795e+01    5.0235030508e-02    1.2508918884e+02    1.2736083110e+02    1.2800000000e+02
    6.8750000    1.3880862343e+01    5.4395102625e-02    1.2509312254e+02    1.2734582638e+02    1.2800000000e+02
    7.0000000    1.3878670126e+01    5.8629637920e-02    1.2509709348e+02    1.2733086087e+02    1.2800000000e+02
    7.1250000    1.3876462341e+01    6.3001102676e-02    1.2510111011e+02    1.2731592265e+02    1.2800000000e+02
    7.2500000    1.3874308213e+01    6.7459410472e-02    1.2510517834e+02    1.2730097611e+02    1.2800000000e+02
    7.3750000    1.3872405149e+01    7.1981068459e-02    1.2510928814e+02    1.2728605436e+02    1.2800000000e+02
    7.5000000    1.3870300002e+01    7.7008057544e-02    1.2511344931e+02    1.2727104857e+02    1.2800000000e+02
    7.6250000    1.3867915874e+01    8.0755004457e-02    1.2511766847e+02    1.2725530417e+02    1.2800000000e+02
    7.7500000    1.3865743940e+01    8.3039122066e-02    1.2512192323e+02    1.2723932698e+02    1.2800000000e+02
    7.8750000    1.3863847192e+01    8.5663785723e-02    1.2512623128e+02    1.2722396928e+02    1.2800000000e+02
    8.0000000    1.3861566807e+01    8.8443202279e-02    1.2513061837e+02    1.2720927891e+02    1.2800000000e+02
    8.1250000    1.3859692254e+01    9.1217002439e-02    1.2513510320e+02    1.2719494719e+02    1.2800000000e+02
    8.2500000    1.3857723417e+01    9.3807189979e-02    1.2513966958e+02    1.2718072641e+02    1.2800000000e+02
    8.3750000    1.3855924128e+01    9.6195594110e-02    1.2514431953e+02    1.2716659440e+02    1.2800000000e+02
    8.5000000    1.3853580875e+01    9.8353070869e-02    1.2514905103e+02    1.2715250828e+02    1.2800000000e+02
    8.6250000    1.3851301447e+01    1.0016247890e-01    1.2515388320e+02    1.2713847333e+02    1.2800000000e+02
    8.7500000    1.3849599434e+01    1.0223836778e-01    1.2515880455e+02    1.2712444636e+02    1.2800000000e+02
    8.8750000    1.3847538993e+01    1.0366636664e-01    1.2516382664e+02    1.2711029631e+02    1.2800000000e+02
    9.0000000    1.3844873777e+01    1.0504157828e-01    1.2516895064e+02    1.2709616921e+02    1.2800000000e+02
    9.1250000    1.3843465740e+01    1.0627465686e-01    1.2517420012e+02    1.2708203093e+02    1.2800000000e+02
    9.2500000    1.3841436084e+01    1.0719361999e-01    1.2517957159e+02    1.2706775530e+02    1.2800000000e+02
    9.3750000    1.3839241091e+01    1.0812136258e-01    1.2518505541e+02    1.2705343785e+02    1.2800000000e+02
    9.5000000    1.3837577547e+01    1.0865714598e-01    1.2519071638e+02    1.2703908644e+02    1.2800000000e+02
    9.6250000    1.3835587229e+01    1.0915922621e-01    1.2519640979e+02    1.2702462718e+02    1.2800000000e+02
    9.7500000    1.3833580113e+01    1.0951322814e-01    1.2520222361e+02    1.2701012693e+02    1.2800000000e+02
    9.8750000    1.3831440132e+01    1.0967771194e-01    1.2520823736e+02    1.2699555846e+02    1.2800000000e+02
   10.0000000    1.3829509095e+01    1.0967204937e-01    1.2521441106e+02    1.2698092220e+02    1.2800000000e+02
   10.1250000    1.3827323115e+01    1.0944279508e-01    1.2522072992e+02    1.2696621203e+02    1.2800000000e+02
   10.2500000    1.3825565501e+01    1.0927307785e-01    1.2522720382e+02    1.2695147793e+02    1.2800000000e+02
   10.3750000    1.3824634057e+01    1.0882314293e-01    1.2523382908e+02    1.2693670859e+02    1.2800000000e+02
   10.5000000    1.3823023721e+01    1.0804631703e-01    1.2524058131e+02    1.2692190576e+02    1.2800000000e+02
   10.6250000    1.3821346947e+01    1.0711929036e-01    1.2524747255e+02    1.2690707435e+02    1.2800000000e+02
   10.7500000    1.3819291607e+01    1.0608581092e-01    1.2525452831e+02    1.2689218472e+02    1.2800000000e+02
   10.8750000    1.3817474142e+01    1.0485170304e-01    1.2526176646e+02    1.2687727694e+02    1.2800000000e+02
   11.0000000    1.3815911062e+01    1.0348978378e-01    1.2526918619e+02    1.2686236891e+02    1.2800000000e+02
   11.1250000    1.3814482912e+01    1.0189178176e-01    1.2527676784e+02    1.2684748555e+02    1.2800000000e+02
   11.2500000    1.3813240874e+01    1.0005613576e-01    1.2528450501e+02    1.2683272967e+02    1.2800000000e+02
   11.3750000    1.3812250698e+01    9.8264989714e-02    1.2529242301e+02    1.2681795201e+02    1.2800000000e+02
   11.5000000    1.3811235659e+01    9.6707866429e-02    1.2530052867e+02    1.2680287194e+02    1.2800000000e+02
   11.6250000    1.3809853540e+01    9.4576007904e-02    1.2530880749e+02    1.2678740941e+02    1.2800000000e+02
   11.7500000    1.3808544033e+01    9.1938661168e-02    1.2531725572e+02    1.2677182065e+02    1.2800000000e+02
